movie,year,imdb_ratings,metacritic,runtime,votes,genres,us_gross
The Green Mile,1999,8.6,61,189,1075380,"Crime, Drama, Fantasy",$136.80M
The Lord of the Rings: The Return of the King,2003,8.9,94,201,1565522,"Adventure, Drama, Fantasy",$377.85M
Cast Away,2000,7.8,73,143,494203,"Adventure, Drama, Romance",$233.63M
Jurassic Park,1993,8.1,68,127,818626,"Action, Adventure, Sci-Fi",$402.45M
The Goonies,1985,7.8,62,114,228648,"Adventure, Comedy, Family",$61.50M
Harry Potter and the Goblet of Fire,2005,7.7,81,157,513032,"Adventure, Family, Fantasy",$290.01M
Star Wars: Episode IV - A New Hope,1977,8.6,90,121,1177165,"Action, Adventure, Fantasy",$322.74M
The Invisible Guest,2016,8.1,-,106,105121,"Crime, Mystery, Thriller",-
Django Unchained,2012,8.4,81,165,1276403,"Drama, Western",$162.81M
Ocean's Eleven,2001,7.8,74,116,490963,"Crime, Thriller",$183.42M
The Big Short,2015,7.8,81,130,332634,"Biography, Comedy, Drama",$70.26M
American Beauty,1999,8.3,84,122,1025964,Drama,$130.10M
Snatch,2000,8.3,55,102,747814,"Comedy, Crime",$30.33M
Ferris Bueller's Day Off,1986,7.8,61,103,302347,Comedy,$70.14M
The Two Popes,2019,7.6,75,125,81435,"Comedy, Drama",-
Batman Begins,2005,8.2,70,140,1246921,"Action, Adventure",$206.85M
Avatar,2009,7.8,83,162,1081855,"Action, Adventure, Fantasy",$760.51M
Back to the Future,1985,8.5,87,116,986488,"Adventure, Comedy, Sci-Fi",$210.61M
Logan,2017,8.1,77,137,604310,"Action, Drama, Sci-Fi",$226.28M
Her,2013,8.0,90,126,502958,"Drama, Romance, Sci-Fi",$25.57M
Deadpool 2,2018,7.7,66,119,440369,"Action, Adventure, Comedy",$324.59M
Ex Machina,2014,7.7,78,108,446667,"Drama, Mystery, Sci-Fi",$25.44M
Jaws,1975,8.0,87,124,524494,"Adventure, Drama, Thriller",$260.00M
Star Wars: Episode VII - The Force Awakens,2015,7.9,81,138,829341,"Action, Adventure, Sci-Fi",$936.66M
Zombieland,2009,7.6,73,88,497729,"Adventure, Comedy, Horror",$75.59M
Eternal Sunshine of the Spotless Mind,2004,8.3,89,108,862081,"Drama, Romance, Sci-Fi",$34.40M
Black Swan,2010,8.0,79,108,672017,"Drama, Thriller",$106.95M
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,63,143,986626,"Action, Adventure, Fantasy",$305.41M
The Revenant,2015,8.0,76,156,662113,"Action, Adventure, Biography",$183.64M
Taxi Driver,1976,8.3,94,114,678943,"Crime, Drama",$28.26M
The Favourite,2018,7.6,90,119,151105,"Biography, Comedy, Drama",$34.37M
Deadpool,2016,8.0,65,108,862141,"Action, Adventure, Comedy",$363.07M
American History X,1998,8.5,62,119,990590,Drama,$6.72M
Rogue One: A Star Wars Story,2016,7.8,65,133,522026,"Action, Adventure, Sci-Fi",$532.18M
The Usual Suspects,1995,8.5,77,106,943970,"Crime, Mystery, Thriller",$23.34M
